Season,Covid,State,WeekTime,Time,ElectricityDemand,RegionalReferencePrice
Autumn,No,Queensland,Weekday,09:00:00,6479.118868613138,72.86284671532846
Autumn,No,Queensland,Weekday,09:30:00,6447.355328467153,72.78222627737226
Autumn,No,Queensland,Weekday,10:00:00,6398.449014598541,76.28317518248173
Autumn,No,Queensland,Weekday,10:30:00,6379.281313868613,68.7161678832117
Autumn,No,Queensland,Weekday,11:00:00,6377.897956204378,77.58562043795624
Autumn,No,Queensland,Weekday,11:30:00,6372.348503649638,67.45854014598538
Autumn,No,Queensland,Weekday,12:00:00,6400.143467153287,67.83854014598533
Autumn,No,Queensland,Weekday,12:30:00,6429.751934306568,69.91846715328462
Autumn,No,Queensland,Weekday,13:00:00,6467.800364963505,71.63047445255475
Autumn,No,Queensland,Weekday,13:30:00,6525.234708029198,72.72510948905106
Autumn,No,Queensland,Weekday,14:00:00,6599.069708029199,75.85131386861316
Autumn,No,Queensland,Weekday,14:30:00,6682.146605839417,74.66372262773726
Autumn,No,Queensland,Weekday,15:00:00,6750.824708029194,75.94317518248177
Autumn,No,Queensland,Weekday,15:30:00,6840.708576642338,78.56423357664235
Autumn,No,Queensland,Weekday,16:00:00,6974.404671532849,85.40916058394151
Autumn,No,Queensland,Weekday,16:30:00,7104.3527372262715,81.78291970802923
Autumn,No,Queensland,Weekday,17:00:00,7245.77638686131,110.73416058394159
Autumn,No,Queensland,Weekday,17:30:00,7332.83967153285,93.00503649635034
Autumn,No,Queensland,Weekday,18:00:00,7406.517299270074,124.5124087591241
Autumn,No,Queensland,Weekday,18:30:00,7431.7392335766435,113.36576642335763
Autumn,No,Queensland,Weekday,19:00:00,7472.795291970804,116.54270072992689
Autumn,No,Queensland,Weekday,19:30:00,7312.718102189785,87.50343065693433
Autumn,No,Queensland,Weekday,20:00:00,7211.353467153282,79.99178832116793
Autumn,No,Queensland,Weekday,20:30:00,7099.505656934302,79.65693430656935
Autumn,No,Queensland,Weekday,21:00:00,6888.723321167883,72.13503649635035
Autumn,No,Queensland,Weekday,21:30:00,6722.212043795625,68.58879562043795
Autumn,No,Queensland,Weekday,22:00:00,6521.074671532845,61.50167883211682
Autumn,No,Queensland,Weekday,22:30:00,6373.654124087596,90.61864963503655
Autumn,No,Queensland,Weekday,23:00:00,6267.4920072992645,75.66978102189782
Autumn,No,Queensland,Weekday,23:30:00,6068.760109489053,73.43682481751826
Autumn,No,Queensland,Weekend,00:00:00,5766.14642201835,65.54045871559632
Autumn,No,Queensland,Weekend,00:30:00,5597.43055045872,59.84477064220182
Autumn,No,Queensland,Weekend,01:00:00,5464.214311926605,57.829633027522945
Autumn,No,Queensland,Weekend,01:30:00,5347.792844036696,54.58807339449541
Autumn,No,Queensland,Weekend,02:00:00,5278.245779816514,55.28697247706422
Autumn,No,Queensland,Weekend,02:30:00,5236.315688073396,53.04577981651375
Autumn,No,Queensland,Weekend,03:00:00,5205.395871559632,51.19743119266054
