Covid,Electricity,Month,State,Value
Yes,Electricity Demand,11,South Australia,998.8606186
Yes,Regional Reference Price,11,South Australia,42.54845361
No,Electricity Demand,11,Tasmania,1071.19755
No,Regional Reference Price,11,Tasmania,71.38516319
Yes,Electricity Demand,11,Tasmania,996.0907216
Yes,Regional Reference Price,11,Tasmania,51.71268041
No,Electricity Demand,11,Victoria,4690.358727
No,Regional Reference Price,11,Victoria,74.35447917
Yes,Electricity Demand,11,Victoria,4011.053093
Yes,Regional Reference Price,11,Victoria,45.31041237
No,Electricity Demand,12,New South Wales,7883.896401
No,Regional Reference Price,12,New South Wales,65.93908266
No,Electricity Demand,12,Queensland,6547.637265
No,Regional Reference Price,12,Queensland,68.21505376
No,Electricity Demand,12,South Australia,1277.668063
No,Regional Reference Price,12,South Australia,89.31716398
No,Electricity Demand,12,Tasmania,1017.108548
No,Regional Reference Price,12,Tasmania,64.13535786
No,Electricity Demand,12,Victoria,4618.128427
No,Regional Reference Price,12,Victoria,66.98526882
